sample_ID,species,abbrev,SRR,country,lon,lat,category,perc_proper_reads,depth,n.sites_filtered_individual,n.sites_filtered_species,n.sites_pruned_species
AC688,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.1978,15.8568,18172588,18306936,1225349
AC690,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.4737,16.7139,18304495,18306936,1225349
AC691,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.0074,15.6237,18038984,18306936,1225349
AC716,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.2378,16.1831,18304009,18306936,1225349
AC717,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,90.7604,15.6306,18304202,18306936,1225349
AC718,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,90.6008,16.8394,18295435,18306936,1225349
AC719,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.0532,15.8861,18303871,18306936,1225349
AK1,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,90.6312,16.3935,18304162,18306936,1225349
AK13,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,90.4755,15.5141,18304437,18306936,1225349
AK14,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.1598,16.2031,18303914,18306936,1225349
AK16,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,89.8558,16.6427,18304138,18306936,1225349
AK18,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,90.0837,16.029,18304335,18306936,1225349
AK8,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.5074,16.1735,18304009,18306936,1225349
AK9,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,90.1647,16.0556,18303531,18306936,1225349
AK055,Amphiprion_akindynos,AKY,pending upload,NCD,166.4750078,-22.2803087,Generalist,91.5853,13.9945,18301294,18306936,1225349
AK069,Amphiprion_akindynos,AKY,pending upload,NCD,166.4750078,-22.2803087,Generalist,91.6456,15.2166,18302084,18306936,1225349
AK038,Amphiprion_akindynos,AKY,pending upload,NCD,165.3267822,-20.7960485,Generalist,91.5849,16.2012,18301361,18306936,1225349
AK003,Amphiprion_akindynos,AKY,pending upload,NCD,165.3820202,-20.9371423,Generalist,91.7491,15.2803,18301634,18306936,1225349
CH171,Amphiprion_chrysopterus,CRP,pending upload,FIJ,179.0122737,-18.1239696,Generalist,90.9757,15.0178,9946012,9947267,751089
CH172,Amphiprion_chrysopterus,CRP,pending upload,FIJ,179.0122737,-18.1239696,Generalist,91.1717,9.62967,9943654,9947267,751089
CH173,Amphiprion_chrysopterus,CRP,pending upload,FIJ,179.0122737,-18.1239696,Generalist,91.1644,10.3887,9944790,9947267,751089
CH174,Amphiprion_chrysopterus,CRP,pending upload,FIJ,179.0122737,-18.1239696,Generalist,91.0638,12.9569,9945893,9947267,751089
CH11,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,91.6756,7.90131,9941024,9947267,751089
CH176,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.71,12.6558,9947095,9947267,751089
CH178,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.6342,16.2105,9947193,9947267,751089
CH18,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,91.7172,6.0569,9903747,9947267,751089
CH205,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.563,16.3878,9947113,9947267,751089
CH206,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.6377,18.3984,9947151,9947267,751089
CH29,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,92.088,6.30995,9914653,9947267,751089
CH31,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.6882,14.0345,9947084,9947267,751089
CH8,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.5935,18.5228,9947105,9947267,751089
CH82,Amphiprion_chrysopterus,CRP,pending upload,PNG,150.1445441,-5.5502054,Generalist,90.758,15.2899,9947047,9947267,751089
CH100,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.3114,9.62492,9945873,9947267,751089
CH112,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.7744,14.4274,9947018,9947267,751089
CH127,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.7987,15.5109,9947137,9947267,751089
CH131,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.8076,8.45628,9943435,9947267,751089
CH132,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,91.1832,8.00025,9941444,9947267,751089
CH141,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.1834,13.2321,9947121,9947267,751089
CH155,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.7515,15.6091,9947091,9947267,751089
CH96,Amphiprion_chrysopterus,CRP,pending upload,SOI,157.9961689,-8.51329565,Generalist,90.2323,26.3859,9947180,9947267,751089
GA040,Amphiprion_chrysopterus,CRP,pending upload,POL,-149.8386006,-17.533306,Generalist,91.9069,23.114,9929136,9947267,751089
CH167,Amphiprion_chrysopterus,CRP,pending upload,PAU,132.9102573,5.3783537,Generalist,92.4251,6.58989,9921300,9947267,751089
GA031,Amphiprion_chrysopterus,CRP,pending upload,SOI,159.1070694,-8.7053941,Generalist,92.0323,7.34233,9912665,9947267,751089
