"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"71","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",10,31570.875,39166.1875,46761.5,716.16,1.7454200178731
"72","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",11,46761.5,57934.4375,69107.375,1052.89,1.18720854030336
"73","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",12,69107.375,85543,101978.625,1455.38,0.858882216328382
"74","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",13,101978.625,126155.5625,150332.5,1695.26,0.737350023005321
"75","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",14,150332.5,185897.5,221462.5,1785.04,0.700264419844933
"76","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",15,221462.5,273779.375,326096.25,1806.2,0.692060679880412
"77","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",16,326096.25,403055.625,480015,1825.94,0.684578901825909
"78","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",17,480015,593223.75,706432.5,1945.6,0.642475328947368
"79","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",18,706432.5,872964.375,1039496.25,268645,0.00465298069943606
"80","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",19,1039496.25,1039496.25,Inf,268645,0.00465298069943606
"83","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",2,808.985,1163.205,1517.425,1995.2,0.626503608660786
"84","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",3,1517.425,2038.4875,2559.55,1157.27,1.0801282328238
"85","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",4,2559.55,3326.04375,4092.5375,393.333,3.17796879488881
"86","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",5,4092.5375,5220.06875,6347.6,835.14,1.49675503508394
"87","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",6,6347.6,8006.21875,9664.8375,681.944,1.83299508464038
"88","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",7,9664.8375,12104.66875,14544.5,378.236,3.30481498323798
"89","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",8,14544.5,18133.625,21722.75,412.7,3.02883450448267
"90","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",9,21722.75,27002.375,32282,472.373,2.64621390299615
"91","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",10,32282,40048.4375,47814.875,579.355,2.1575717824132
"92","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",11,47814.875,59239.4375,70664,835.214,1.49662242251686
"93","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",12,70664,87469.8125,104275.625,1290.19,0.96884954929119
"94","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",13,104275.625,128997.1875,153718.75,1892.74,0.660418229656477
"95","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",14,153718.75,190085,226451.25,2126.37,0.58785629970325
"96","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",15,226451.25,279946.25,333441.25,1904.63,0.656295448459806
"97","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",16,333441.25,412134.375,490827.5,1481.44,0.843773625661518
"98","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",17,490827.5,606586.25,722345,1285.69,0.972240586766639
"99","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",18,722345,892628.125,1062911.25,2093.95,0.596957902528714
"100","CLK_IDN.13","Generalist","Amphiprion clarkii","CLK","IDN","13",19,1062911.25,1062911.25,Inf,2093.95,0.596957902528714
"104","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",3,1570.2625,2109.46875,2648.675,2106.24,0.593474627772714
"105","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",4,2648.675,3441.85625,4235.0375,157.251,7.94907504562769
"106","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",5,4235.0375,5401.83125,6568.625,509.476,2.45350124441583
"107","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",6,6568.625,8284.99375,10001.3625,761.123,1.64231011282014
"108","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",7,10001.3625,12526.18125,15051,590.252,2.11773954175505
"109","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",8,15051,18765.0625,22479.125,353.681,3.53425827228491
