Sample_ID,Anemonefish.Species,Species_Abbreviation,Country,Country_Abbreviation,Location,Pop_ID,Coord.X,Coord.Y,Host category,Accession
CH171,Amphiprion_chrysopterus,CRP,Fiji,FIJ,Fiji,FIJ_Fiji,179.0122737,-18.1239696,Generalist,SAMN45957672
CH172,Amphiprion_chrysopterus,CRP,Fiji,FIJ,Fiji,FIJ_Fiji,179.0122737,-18.1239696,Generalist,SAMN45957673
CH173,Amphiprion_chrysopterus,CRP,Fiji,FIJ,Fiji,FIJ_Fiji,179.0122737,-18.1239696,Generalist,SAMN45957674
CH174,Amphiprion_chrysopterus,CRP,Fiji,FIJ,Fiji,FIJ_Fiji,179.0122737,-18.1239696,Generalist,SAMN45957675
CH11,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957676
CH176,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957677
CH178,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957678
CH18,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957679
CH205,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957680
CH206,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957681
CH29,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957682
CH31,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957683
CH8,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957684
CH82,Amphiprion_chrysopterus,CRP,Papua New Guinea,PNG,Kimbe,PNG_Kimbe,150.1445441,-5.5502054,Generalist,SAMN45957685
CH100,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957686
